Date,Flights
2008-01-01 00:00:00,6514
2008-01-02 00:00:00,6932
2008-01-03 00:00:00,6926
2008-01-04 00:00:00,6835
2008-01-05 00:00:00,6029
2008-01-06 00:00:00,6634
2008-01-07 00:00:00,6758
2008-01-08 00:00:00,6468
2008-01-09 00:00:00,6587
2008-01-10 00:00:00,6746
2008-01-11 00:00:00,6622
2008-01-12 00:00:00,5389
2008-01-13 00:00:00,6216
2008-01-14 00:00:00,6340
2008-01-15 00:00:00,6477
2008-01-16 00:00:00,6496
2008-01-17 00:00:00,6582
2008-01-18 00:00:00,6818
2008-01-19 00:00:00,5213
2008-01-20 00:00:00,6239
2008-01-21 00:00:00,6665
2008-01-22 00:00:00,6385
2008-01-23 00:00:00,6547
2008-01-24 00:00:00,6758
2008-01-25 00:00:00,6719
2008-01-26 00:00:00,5390
2008-01-27 00:00:00,6287
2008-01-28 00:00:00,6620
2008-01-29 00:00:00,6297
2008-01-30 00:00:00,6439
2008-01-31 00:00:00,6517
2008-02-01 00:00:00,6393
2008-02-02 00:00:00,5420
2008-02-03 00:00:00,6165
2008-02-04 00:00:00,6213
2008-02-05 00:00:00,6259
2008-02-06 00:00:00,5959
2008-02-07 00:00:00,6766
2008-02-08 00:00:00,6774
2008-02-09 00:00:00,5422
2008-02-10 00:00:00,6248
2008-02-11 00:00:00,6636
2008-02-12 00:00:00,5900
2008-02-13 00:00:00,6224
2008-02-14 00:00:00,6966
2008-02-15 00:00:00,7042
2008-02-16 00:00:00,5695
2008-02-17 00:00:00,6211
2008-02-18 00:00:00,6842
2008-02-19 00:00:00,6911
2008-02-20 00:00:00,6962
2008-02-21 00:00:00,6902
2008-02-22 00:00:00,6023
2008-02-23 00:00:00,5728
2008-02-24 00:00:00,6587
2008-02-25 00:00:00,6912
2008-02-26 00:00:00,6678
2008-02-27 00:00:00,6945
2008-02-28 00:00:00,6972
2008-02-29 00:00:00,6964
2008-03-01 00:00:00,5798
2008-03-02 00:00:00,6569
2008-03-03 00:00:00,6899
2008-03-04 00:00:00,6620
2008-03-05 00:00:00,6839
2008-03-06 00:00:00,6781
2008-03-07 00:00:00,6729
2008-03-08 00:00:00,5294
2008-03-09 00:00:00,6455
2008-03-10 00:00:00,6954
2008-03-11 00:00:00,6893
2008-03-12 00:00:00,6984
2008-03-13 00:00:00,7089
2008-03-14 00:00:00,7099
2008-03-15 00:00:00,5874
2008-03-16 00:00:00,6628
2008-03-17 00:00:00,7015
2008-03-18 00:00:00,6311
2008-03-19 00:00:00,6801
2008-03-20 00:00:00,7013
2008-03-21 00:00:00,6737
2008-03-22 00:00:00,5905
2008-03-23 00:00:00,6613
2008-03-24 00:00:00,7022
2008-03-25 00:00:00,6856
2008-03-26 00:00:00,6785
2008-03-27 00:00:00,6860
2008-03-28 00:00:00,7073
2008-03-29 00:00:00,5924
2008-03-30 00:00:00,6608
2008-03-31 00:00:00,6776
2008-04-01 00:00:00,6765
2008-04-02 00:00:00,6975
2008-04-03 00:00:00,7037
2008-04-04 00:00:00,6863
2008-04-05 00:00:00,5851
2008-04-06 00:00:00,6615
2008-04-07 00:00:00,6994
2008-04-08 00:00:00,6575
2008-04-09 00:00:00,6425
2008-04-10 00:00:00,6531
2008-04-11 00:00:00,6750
2008-04-12 00:00:00,5776
